130;70.5;51.5;120;10;10
130;70.5;55;120;15;15
130;70.5;58.5;120;20;20
130;70.5;62;120;25;25
130;70.5;66;120;30;30
130;70.5;70;120;35;35
130;70.5;78;120;40;40
130;70.5;88;120;45;45
130;70.5;95;120;50;50
130;70.5;105;120;55;55
130;70.5;120;120;60;60
130;70.5;125.5;120;65;65
130;70.5;128;123;70;70
130;70.5;120;116;75;75
130;70.5;120;118;80;80
130;70.5;129;112;85;85
130;70.5;126;120;90;90
130;70.5;121;112;95;95
130;70.5;127;110;100;100
130;70.5;137;111;105;105
130;70.5;132;119;110;110
130;70;127;125;115;115
130;70;122;120;120;120
130;72.5;118;123;125;125
128.5;72;125;124;130;130
125;70.5;125;131;135;135
117;68;118;123;140;140
110.5;67.5;123;123;145;145
101;64.5;124;118;150;150
91;62;133;119;155;155
80.5;58.5;141;118;160;160
69.5;53.5;137;124;165;165
58.5;45;130;125;170;170
52.5;34;134;131;175;175
49;20.5;125;123;180;180
53.5;20.5;135;123;185;185
58;20.5;138;132;190;190
62.5;20.5;142;138;195;195
69;22;139;141;200;200
76.5;21.5;145;150;205;205
88.5;26;152;147;210;210
100.5;30;147;139;215;215
113.5;33.5;152;130;220;220
126.5;38.5;161;128;225;225
132.5;40;167;138;230;230
131.5;39;175;137;235;235
131.5;39;178;138;240;240
131.5;39;170;143;245;245
131.5;39;170;134;250;250
131.5;39;177;127;255;255
131.5;39;179;128;260;260
